reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Ins.started,text_3.started,key_resp_2.started,Ins.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,Fixation.started,text.started,key_resp.started,Fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,thanks.started,text_2.started,text_2.stopped,thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.012294874992221594,0.027671958960127085,0.027671958960127085,9.46620287495898,space,9.433028124971315,None,,,,,,,,,,,,,,AN,001,2024-11-17_20h00.07.864,v7,2024.1.5,None,2024-11-17 20h00.29.501848 +0530,
15,35,13,0,0,0,1,9.518377833999693,,,,,,,,,9.49104133399669,9.518377833999693,10.46490433398867,10.46490433398867,10.514955208986066,12.47338545898674,l,2.0055972080444917,None,,,,,AN,001,2024-11-17_20h00.07.864,v7,2024.1.5,None,2024-11-17 20h00.29.501848 +0530,
78,80,162,0,1,1,6,12.491551458952017,,,,,,,,,12.474812041968107,12.491551458952017,13.47420424997108,13.47420424997108,13.481667999993078,15.350723708979785,t,1.8745135419885628,None,,,,,AN,001,2024-11-17_20h00.07.864,v7,2024.1.5,None,2024-11-17 20h00.29.501848 +0530,
27,50,21,0,2,2,2,15.36678512499202,,,,,,,,,15.351703999971505,15.36678512499202,16.348434833984356,16.348434833984356,16.364852166967466,17.91747091698926,t,1.5670669579994865,None,,,,,AN,001,2024-11-17_20h00.07.864,v7,2024.1.5,None,2024-11-17 20h00.29.501848 +0530,
40,55,62,0,3,3,3,17.934539583977312,,,,,,,,,17.91830866696546,17.934539583977312,18.914893083972856,18.914893083972856,18.93158166698413,20.00018137495499,t,1.079404791991692,None,,,,,AN,001,2024-11-17_20h00.07.864,v7,2024.1.5,None,2024-11-17 20h00.29.501848 +0530,
67,75,119,0,4,4,5,20.016199208970647,,,,,,,,,20.000999916985165,20.016199208970647,20.998412999964785,20.998412999964785,21.015104083984625,21.61705720896134,t,0.6132137079839595,None,,,,,AN,001,2024-11-17_20h00.07.864,v7,2024.1.5,None,2024-11-17 20h00.29.501848 +0530,
11,30,7,0,5,5,0,21.6326325419941,,,,,,,,,21.618024458992295,21.6326325419941,22.6150121249957,22.6150121249957,22.622215749986935,23.517074041999876,l,0.8914297500159591,None,,,,,AN,001,2024-11-17_20h00.07.864,v7,2024.1.5,None,2024-11-17 20h00.29.501848 +0530,
49,60,89,0,6,6,4,23.532045208965428,,,,,,,,,23.517882041982375,23.532045208965428,24.515083458973095,24.515083458973095,24.522594708949327,25.806760416948237,t,1.2847104169777595,None,,,,,AN,001,2024-11-17_20h00.07.864,v7,2024.1.5,None,2024-11-17 20h00.29.501848 +0530,
49,60,89,1,0,7,4,25.8185562499566,,,,,,,,,25.80757491698023,25.8185562499566,26.806598333991133,26.806598333991133,26.815325291943736,27.340616624976974,t,0.5319368329946883,None,,,,,AN,001,2024-11-17_20h00.07.864,v7,2024.1.5,None,2024-11-17 20h00.29.501848 +0530,
15,35,13,1,1,8,1,27.355386541981716,,,,,,,,,27.341594041965436,27.355386541981716,28.34068333398318,28.34068333398318,28.34770116698928,29.18331308395136,l,0.835336374992039,None,,,,,AN,001,2024-11-17_20h00.07.864,v7,2024.1.5,None,2024-11-17 20h00.29.501848 +0530,
