image,type,duration,corr_ans,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,instructions.started,text.started,key_resp_2.started,instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,original.started,fixation1.started,image1.started,fixation1.stopped,image1.stopped,original.stopped,instructions2.started,text_2.started,keyresp.started,instructions2.stopped,keyresp.keys,keyresp.rt,keyresp.duration,mixed.started,fixation2.started,key_resp.started,image_2.started,fixation2.stopped,image_2.stopped,mixed.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,thanks.started,text_3.started,thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart
/Users/mac/Desktop/0_Solo/rockbw5.jpg,bnw,0.05,,0,15,15,41,,,,,134.6458145,,,,,,,,,134.6199292,134.6458145,141.6109566,141.6406707,141.7209727,141.6526599,,,,,,,,,,,,,,,,,,,,,,NS,1,2024-11-29_20h50.08.630,soloproject,2024.1.5,None,2024-11-29 20h50.20.598882 +0530
/Users/mac/Desktop/0_Solo/flowerc5.jpg,colour,0.2,,0,16,16,11,,,,,141.7209727,,,,,,,,,141.6532747,141.7209727,148.6441225,148.7190053,148.858875,148.8365283,,,,,,,,,,,,,,,,,,,,,,NS,1,2024-11-29_20h50.08.630,soloproject,2024.1.5,None,2024-11-29 20h50.20.598882 +0530
/Users/mac/Desktop/0_Solo/flowerbw5.jpg,bnw,0.533,,0,17,17,22,,,,,148.858875,,,,,,,,,148.8371342,148.858875,155.826743,155.8523771,156.3640929,156.342972,,,,,,,,,,,,,,,,,,,,,,NS,1,2024-11-29_20h50.08.630,soloproject,2024.1.5,None,2024-11-29 20h50.20.598882 +0530
/Users/mac/Desktop/0_Solo/landscapebw4.jpg,bnw,0.2,,0,18,18,14,,,,,156.3640929,,,,,,,,,156.3435131,156.3640929,163.3433517,163.356854,163.6808014,163.5268177,,,,,,,,,,,,,,,,,,,,,,NS,1,2024-11-29_20h50.08.630,soloproject,2024.1.5,None,2024-11-29 20h50.20.598882 +0530
/Users/mac/Desktop/0_Solo/mmc1.jpg,colour,1.067,,0,19,19,13,,,,,163.6808014,,,,,,,,,163.5273179,163.6808014,170.5349255,170.67446,171.6478907,171.5872805,,,,,,,,,,,,,,,,,,,,,,NS,1,2024-11-29_20h50.08.630,soloproject,2024.1.5,None,2024-11-29 20h50.20.598882 +0530
/Users/mac/Desktop/0_Solo/landscapec3.jpg,colour,0.533,,0,20,20,6,,,,,171.6478907,,,,,,,,,171.5886662,171.6478907,178.5778194,178.6415718,179.1265425,179.104016,,,,,,,,,,,,,,,,,,,,,,NS,1,2024-11-29_20h50.08.630,soloproject,2024.1.5,None,2024-11-29 20h50.20.598882 +0530
/Users/mac/Desktop/0_Solo/mmbw5.jpg,bnw,0.2,,0,21,21,45,,,,,179.1265425,,,,,,,,,179.1045144,179.1265425,186.1031279,186.1199863,186.3093615,186.2876828,,,,,,,,,,,,,,,,,,,,,,NS,1,2024-11-29_20h50.08.630,soloproject,2024.1.5,None,2024-11-29 20h50.20.598882 +0530
/Users/mac/Desktop/0_Solo/landscapebw2.jpg,bnw,0.8,,0,22,22,10,,,,,186.3093615,,,,,,,,,186.288243,186.3093615,193.286556,193.3032816,194.3521094,194.0712732,,,,,,,,,,,,,,,,,,,,,,NS,1,2024-11-29_20h50.08.630,soloproject,2024.1.5,None,2024-11-29 20h50.20.598882 +0530
/Users/mac/Desktop/0_Solo/rockc2.jpg,colour,0.533,,0,23,23,31,,,,,194.3521094,,,,,,,,,194.0717925,194.3521094,201.0766638,201.3426359,201.6473059,201.5934456,,,,,,,,,,,,,,,,,,,,,,NS,1,2024-11-29_20h50.08.630,soloproject,2024.1.5,None,2024-11-29 20h50.20.598882 +0530
/Users/mac/Desktop/0_Solo/flowerbw1.jpg,bnw,0.2,,0,24,24,26,,,,,201.6473059,,,,,,,,,201.5947978,201.6473059,208.5868727,208.6427922,208.7947018,208.771269,,,,,,,,,,,,,,,,,,,,,,NS,1,2024-11-29_20h50.08.630,soloproject,2024.1.5,None,2024-11-29 20h50.20.598882 +0530
/Users/mac/Desktop/0_Solo/mmc3.jpg,colour,1.067,,0,25,25,3,,,,,208.7947018,,,,,,,,,208.7717853,208.7947018,215.7625057,215.7931302,216.8957765,216.8214077,,,,,,,,,,,,,,,,,,,,,,NS,1,2024-11-29_20h50.08.630,soloproject,2024.1.5,None,2024-11-29 20h50.20.598882 +0530
/Users/mac/Desktop/0_Solo/landscapec2.jpg,colour,0.4,,0,26,26,40,,,,,216.8957765,,,,,,,,,216.8219293,216.8957765,223.8132118,223.8926266,224.2650194,224.2052879,,,,,,,,,,,,,,,,,,,,,,NS,1,2024-11-29_20h50.08.630,soloproject,2024.1.5,None,2024-11-29 20h50.20.598882 +0530
/Users/mac/Desktop/0_Solo/flowerc4.jpg,colour,0.05,,0,27,27,28,,,,,224.2650194,,,,,,,,,224.2057933,224.2650194,231.1991017,231.277374,231.243652,231.2553203,,,,,,,,,,,,,,,,,,,,,,NS,1,2024-11-29_20h50.08.630,soloproject,2024.1.5,None,2024-11-29 20h50.20.598882 +0530
/Users/mac/Desktop/0_Solo/landscapec4.jpg,colour,0.4,,0,28,28,23,,,,,231.277374,,,,,,,,,231.2559149,231.277374,238.2549587,238.2713572,238.6612685,238.6392073,,,,,,,,,,,,,,,,,,,,,,NS,1,2024-11-29_20h50.08.630,soloproject,2024.1.5,None,2024-11-29 20h50.20.598882 +0530
/Users/mac/Desktop/0_Solo/landscapebw5.jpg,bnw,0.533,,0,29,29,1,,,,,238.6612685,,,,,,,,,238.6397015,238.6612685,245.6302347,245.6552398,246.1761358,246.1562555,,,,,,,,,,,,,,,,,,,,,,NS,1,2024-11-29_20h50.08.630,soloproject,2024.1.5,None,2024-11-29 20h50.20.598882 +0530
/Users/mac/Desktop/0_Solo/landscapebw6.jpg,bnw,0.533,,0,30,30,38,,,,,246.1761358,,,,,,,,,246.156906,246.1761358,253.154506,253.1718559,253.6955597,253.6729975,,,,,,,,,,,,,,,,,,,,,,NS,1,2024-11-29_20h50.08.630,soloproject,2024.1.5,None,2024-11-29 20h50.20.598882 +0530
/Users/mac/Desktop/0_Solo/rockc4.jpg,colour,0.05,,0,31,31,2,,,,,253.6955597,,,,,,,,,253.673498,253.6955597,260.6634142,260.7056422,260.7256302,260.7064174,,,,,,,,,,,,,,,,,,,,,,NS,1,2024-11-29_20h50.08.630,soloproject,2024.1.5,None,2024-11-29 20h50.20.598882 +0530
/Users/mac/Desktop/0_Solo/mmbw4.jpg,bnw,0.05,,0,32,32,17,,,,,260.7256302,,,,,,,,,260.706837,260.7256302,267.696563,267.7225411,267.799096,267.739848,,,,,,,,,,,,,,,,,,,,,,NS,1,2024-11-29_20h50.08.630,soloproject,2024.1.5,None,2024-11-29 20h50.20.598882 +0530
/Users/mac/Desktop/0_Solo/rockbw4.jpg,bnw,0.8,,0,33,33,29,,,,,267.799096,,,,,,,,,267.7403472,267.799096,274.7309163,274.79486,275.5483758,275.5233771,,,,,,,,,,,,,,,,,,,,,,NS,1,2024-11-29_20h50.08.630,soloproject,2024.1.5,None,2024-11-29 20h50.20.598882 +0530
/Users/mac/Desktop/0_Solo/mmbw6.jpg,bnw,0.533,,0,34,34,24,,,,,275.5483758,,,,,,,,,275.5240853,275.5483758,282.5140894,282.5447423,283.0607757,283.0404739,,,,,,,,,,,,,,,,,,,,,,NS,1,2024-11-29_20h50.08.630,soloproject,2024.1.5,None,2024-11-29 20h50.20.598882 +0530
/Users/mac/Desktop/0_Solo/landscapebw1.jpg,bnw,0.8,,0,35,35,21,,,,,283.0607757,,,,,,,,,283.0410585,283.0607757,290.0310566,290.0558185,290.9184068,290.8239256,,,,,,,,,,,,,,,,,,,,,,NS,1,2024-11-29_20h50.08.630,soloproject,2024.1.5,None,2024-11-29 20h50.20.598882 +0530
/Users/mac/Desktop/0_Solo/rockc5.jpg,colour,0.2,,0,36,36,20,,,,,290.9184068,,,,,,,,,290.8244199,290.9184068,297.8214639,297.9119371,298.0304993,298.0074398,,,,,,,,,,,,,,,,,,,,,,NS,1,2024-11-29_20h50.08.630,soloproject,2024.1.5,None,2024-11-29 20h50.20.598882 +0530
